ENGLISH,ARABIC,FRENCH,CATEGORY
Tesjuino,,Tesjuino,
Testaroli,,Testaroli,
Testarolo,,Testarolo,
Testouri Cheese,جبنة تيستوري,Fromage Testouri,
Tetrahydrocannabinol,,Tétrahydrocannabinol,
Tetrahydrofurfuryl Propionate,,Propionate de tétrahydrofurfuryle,
Tetrahydrofurfuryl Acetate,,Acétate de tétrahydrofurfuryle,
Tetrasodium Diphosphate,,Diphosphate tétrasodique,
Tetrasodium Pyrophosphate,,Pyrophosphate tétrasodique,
Texas Toast,خبز تكساس المحمص,Texas Toast,
Texas Whiskey,ويسكي تكساس,Whisky du Texas,
Textured Soy Flour,دقيق فول الصويا,Farine de soja texturée,
Textured Vegetable Protein,بروتين نباتي محكم,Protéines végétales texturées,
Thai Kaffir Lime Leaves,أوراق الكافير التايلاندية,Feuilles de lime kaffir thaï,
Thai Lime,الليمون التايلاندي,Chaux thaïlandaise,
Thai Lime Leaves,أوراق الليمون التايلاندية,Feuilles de chaux thaïlandaises,
Thai Pepper,فلفل تايلاندي,Poivre thaïlandais,
Thaumatin,,Thaumatine,
THBP,,Trihydroxybutyrophénone,
Theine,,Théine,
Thermally Oxidised Soya Bean Oil,زيت فول الصويا المؤكسد حرارياً,Huile de soja oxydée thermiquement,
Thermally oxidised soya bean oil interacted with mono and diglycerides of fatty acids,,Huile de soja oxydée thermiquement intéragi avec mono et diglycérides d'acides gras,
Thiabendazole,,Thiabendazole,
Thiamin,ثيامين,Thiamine,
Thiamine,ثيامين,Thiamine,
Thiamine Mononitrate,,Thiamine mononitrate,
Thickeners ,مكثفات,Épaississants,
Thin Boiling Starch,,Amidon à ébullition mince,
Thiodipropionic Acid,,Acide thiodipropionique,
THK,,Épaississants,
Thousand Island Dressing,,Vinaigrette Mille Îles,
Threonine,,Thréonine,
Thyme,زعتر,Thym,
Ti Plant,,Ti Plant,
Ti Plant Root,,Racine Ti Plant,
Ti Root,,Ti Root,
Tibetan Apricot,,Abricot Tibétain,
Tilapia,,Tilapia,
Tilefish,,Poisson Tile,
Tiramisu,تيراميسو,Tiramisu,
Tiswin,,Tiswin,
Titanium dioxde,,Dioxyde de titane,
Titanium Dioxide,,Dioxyde de titane,
Tkemali,,Tkemali,
Toad in the Hole,,Toad in the hole,
Toasted,محمص,Grillé,
Toasted Sesame Oil,زيت السمسم المحمص,Huile de sésame grillé,
Tobiko,,Tobiko,
Toblerone,شوكولاتة توبليرون,Toblérone,
Tocopherol,,Tocophérol,
Tocopherol Concentrate,,Concentré de tocophérol,
Tocopherols,,Tocophérols,
Tocopheryl Acetate,,Acétate de tocophérol,
Toddy,,Grog,
Toffee ,توفي,Caramel au beurre,
Tofu,توفو,Tofu,
Tomahawk Steak,ستيك توماهوك,Steak Tomahawk,
Tomato,طماطم,Tomate,
Tomato Juice,عصير الطماطم,Jus de tomate,
Tomato Ketchup,كتشاب,Ketchup aux tomates,
Tomato Paste,معجون الطماطم,Pâte de tomate,
Tomato Powder,مسحوق الطماطم,Poudre de tomate,
Tomato Sauce,صلصة الطماطم,Sauce tomate,
Tongba,,Tongba,
Tonic,تونيك,Tonique,
Tonic Water,ماء التونيك,Eau tonique,
Tonto,,Tonto,
Topinambur,دوار الشمس الدرني,Topinambur,
Torchio,باستا تورشيو,Torchio,
Torkolypalinka,مشروب توركوليبالينكا,Torkolypalinka,
Tortelli,باستا تورتيلي,Tortelli,
Tortellini,باستا تورتيليني,Tortellini,
Tortelloni,باستا تورتيلوني,Tortelloni,
Tortiglioni,باستا تورتيجليوني,Tortiglioni,
Total Dissolved Solids,مجموع المواد الصلبة المذابة,Solides totaux dissous,
Total Fat,مجموع الدهون,Graisse totale,
Total Hardness,مجموع الصلابة,Dureté totale,
Total lipid fat,إجمالي الدهون الدهون,Lipides totaux,
Tracer Gas,غاز التتبع,Gaz traceur,
Traditional Cut,,Coupe traditionnelle,
Tragacanth,صمغ الكثيراء,Tragacanthe,
Trans Fat,الدهون الغير مشبعة,Acide gras trans,
Treacle Sponge Pudding,بودينج تريكل الاسفنجي,Sponge pudding à la mélasse,
Treccia Mozzarella,موتزاريلا تريشيا,Treccia Mozzarella,
Treccione,خبز تريشيوني,Treccione,
Tree nuts,مكسرات الأشجار,Noix,
Trenne,باستا تريني,Trenne,
Tresse Cheese,جبنة تريس,Fromage Tresse,
Triacetin,الترياسيتين,Triacétine,
Triammonium Citrate,سترات التيرامونيوم,Citrate de triammonium,
Triammonium citrate,سترات تريامونيوم,Citrate de triammonium,
Tribasic Calcium Phosphate,ثلاثي فوسفات الكالسيوم,Phosphate de calcium tribasique,
Tributyrin,تريبيوترين,Tributyrine,
Tricalcium Orthophosphate,,Orthophosphate tricalcique,
Tricalcium Phosphate,,Phosphate Tricalcique,
Tricalcium Silicate,,Silicate tricalcique,
Triethyl Citrate,سترات الإيثيل,Citrate de triéthyle,
Triethyl citrate,سترات ثلاثي الإيثيل,Citrate de triéthyle,
Trihydroxybutyrophenone,,Trihydroxybutyrophénone,
Trimethylxanthine,,Triméthylxanthine,
Triphosphates,ثلاثي الفوسفات,Triphosphates,
Tripoline,باستا تريبولين,Tripoline,
Tripotassium Citrate,,Citrate Tripotassique,
Trisodium Monophosphate,,Monophosphate trisodique,
Trisodium Orthophosphate,,Orthophosphate trisodique,
Trisodium Citrate,,Citrate trisodique,
Trisodium Phosphate,,Phosphate trisodique,
Trisodium Phosphate Crystals,,Cristaux de phosphate trisodique,
Trofie,باستا تروفي,Trofie,
Trout,سمك السلمون المرقط,Truite,
Truffle,الكمأة,Truffe,
Tsikoudia,مشروب تسيكوديا,Tsikoudia,
Tsipouro,مشروب تسيبورو,Tsipouro,
Tsukemono,خضار تسوكه مونو المخللة,Tsukemono,
Ttyptophan,,Ttyptophane,
Tuak,مشروب اللاقمي,Tuak,
Tuffoli,باستا توفولي,Tuffoli,
Tuica,مشروب تويك,Tuica,
Tuna,سمك التونا,Thon,
Turbinado Sugar,سكر بني,Sucre Turbinado,
Turbot,سمك الطربوت العملاق,Turbot,
Turkey,ديك حبش,Dinde,
Turkomani Cheese,جبنة التركماني,Fromage Turkomani,
Turmeric,الكركم,Safran des Indes,
Turmeric Extract,مستخلص الكركم,Extrait de curcuma,
Turnip,لفت,Navet,
Turtle,سلحفاة,Tortue,
Tuzemak,مشروب توزيماك,Tuzemak,
Twirl,شوكولاتة تويرل,Tournoiement,
Twix,شوكولاتة تويكس,Twix,
Typical Values,القيم النموذجية,Valeurs typiques,
Tyrosine,,Tyrosine,
Tzfat,,Tzfat,
Udon,أودن,Udon,
Udon Noodles,نودلز أودن,Nouilles udon,
Ugli,فاكهة أغلي,Ugli,
Ugli Fruit,فاكهة أغلي,Fruit ugli,
Uglifruit,فاكهة أغلي,Fruit ugli,
Umeshu,,Umeshu,
Unbleached enriched flour ,طحين غير مبيض ,Farine enrichie non blanchie,
Undecanal,,Undecanal,
Uniq Fruit,فاكهة أغلي,Fruit uniq,
Unleavened Bread,خبز غير مخمر,Pain sans levain,
Unmodified Cornstarch,نشا الذرة غير المعدلة,Fécule de maïs non modifiée,
Unsaturated Fat,دهون غير مشبعة,Graisse insaturée,
Urgwagwa,بيرة الموز,Urgwagwa,
US Extra Virgin Olive Oil,زيت زيتون بكر ممتاز أمريكي,Huile d'olive extra vierge américaine,
US Olive Oil,زيت زيتون أمريكي,Huile d'olive américaine,
US Refined Olive Oil,زيت زيتون مكرر أمريكي,Huile d'olive raffinée américaine,
US Virgin Olive Oil,زيت زيتون بكر أمريكي,Huile d'olive vierge américaine,
Vanaspati,,Vanaspati,
Vanilla,فانيلا,Vanille,
Vanilla Extract,مستخلص الفانيلا,Extrait de vanille,
Vanilla Flavor Artificial,نكهة الفانيلا، صناعية,Arôme artificel de vanille,
Vanilla Flavour Artificial,نكهة الفانيلا، صناعية,Arôme artificel de vanille,
Vanilla Sugar,سكر الفانيلا,Sucre vanillé,
Vanillin,فانيلين,Vanilline,
Vanillin Acetate,أسيتات الفانيلين,Acétate de vanilline,
Vayana,,Vayana,
Vayana Leaf,,Feuille de vayana,
Veal,لحم العجل,Veau,
Vegemite,,Vegemite,
Vegetable Carbon,الكربون النباتي,Carbone végétal,
Vegetable carbon,كربون نباتي,Carbone végétal,
Vegetable emulsifiers ,مستحلبات الخضروات ,Émulsifiants végétaux,
vegetable fat ,دهون نباتية,Graisse végétale,
Vegetable Gums,صمغ نباتي,Gommes végétales,
Vegetable Juice,عصير الخضار,Jus de légumes,
Vegetable Juice Concentrate,مركز عصير الخضار,Jus de légumes concentré,
Vegetable Oil,زيت نباتي,Huile végétale,
Vegetable Oil Hydrogenated,زيت نباتي، مهدرج,Huile végétale hydrogénée,
Vegetable Oils,زيوت نباتية,Huiles végétales,
Vegetable Protein Textured,بروتين نباتي,Protéines végétales texturées,
Vegetable stock,مرقة الخضار,Bouillon de légumes,
Veloute Sauce,صلصة فيلوت,Velouté,
Venison,لحم الغزال,Venaison,
Verjuice,,Verjuice,
Vermicelli,الشعيرية,Vermicelle,
Vermicelloni,الشعيرية,Vermicelloni,
Vermouth,,Vermouth,
Vesuvio,فيسوفيو,Vésuve,
Vitamin B3,فيتامين ب 3,Vitamine B3,
Vienna Sausage,سجق فيينا,Saucisse de Vienne,
Viennese Sandwich,ساندويتش فيينا,Sandwich viennois,
Viili,,Viili,
Viljamovka,,Viljamovka,
Vinaigrette,صلصة الخل,Vinaigrette,
Vinegar,خل,Vinaigre,
Vinegar Apple,خل، التفاح,Vinaigre pomme,
Vinegar Cider,خل، التفاح,Vinaigre cidre,
Vinegar Corn Sugar,خل، سكر الذرة,Vinaigre sucre de maïs,
Vinegar Distilled,خل، مقطر,Vinaigre distillé,
Vinegar Grain,الخل ،حبوب,Vinaigre grain,
Vinegar Malt,خل، الشعير,Vinaigre malt,
Vinegar Spirit,روح الخل,Vinaigre spiritueux,
Vinegar White Wine,خل، النبيذ الأبيض,Vinaigre vin blanc,
Vinegar Wine,خل، النبيذ,Vinaigre vin,
Vinsanto Wine,نبيذ فنسانتو,Vin de Vinsanto,
Violaxanthin,,Violaxanthine,
Vital Wheat Gluten,غلوتين القمح الحيوي,Gluten de blé vital,
Vitamin,فيتامين,Vitamine,
Vitamin A,فيتامين أ,Vitamine A,
Vitamin A Palmitate,بالميتات فيتامين أ,Vitamine A Palmitate,
Vitamin B,فيتامين ب,Vitamine B,
Vitamin B 6,فيتامين ب٦,Vitamine B 6,
Vitamin B1,فيتامين ب١,Vitamine B1,
Vitamin B12,فيتامين ب١٢,Vitamine B12,
Vitamin B2,فيتامين ب٢,Vitamine B2,
Vitamin B3,فيتامين ب٣,Vitamine B3,
Vitamin B5,فيتامين ب٥,Vitamine B5,
Vitamin B6,فيتامين ب٦,Vitamine B6,
Vitamin B6 Hydrochloride,هيدروكلوريد فيتامين ب 6,Chlorhydrate de vitamine B6,
Vitamin B9,فيتامين ب٩,Vitamine B9,
Vitamin C,فيتامين ج,Vitamine C,
Vitamin D,فيتامين د,Vitamine D,
Vitamin D2,فيتامين د٢,Vitamine D2,
Vitamin D3,فيتامين د٣,Vitamine D3,
Vitamin E,فيتامين ه,Vitamine E,
Vitamin E Acetate,خلات فيتامين هـ,Acétate de vitamine E,
Vitamin K,فيتامين ك,Vitamine K,
Vitamins,فيتامينات,Vitamines,
Vodka,فودكا,Vodka,
Wahoo,,Poisson wahoo,
Waldorf Pudding,بودينغ والدورف,Pudding Waldorf,
Walleye,سمك الجاحظ,Doré,
Walnut,جوز,Noyer,
Walnut Oil,زيت الجوز,Huile de noix,
Walnut Pie,فطيرة الجوز,Tarte aux noix,
Wanko Soba,وانكو سوبا,Wanko Soba,
Wanko Soba Noodles,نودلز وانكو سوبا,Nouilles Wanko Soba,
Wasabi,وسابي,Wasabi,
Washed,مغسول,Lavé,
Washed Raw Sugar,سكر خام مغسول,Sucre brut lavé,
Water,ماء,Eau,
Water Buffalo,جاموس الماء,Buffles d'eau,
Water Chestnut,كستناء الماء,Chataigne d'eau,
Watercress,الجرجير,Cresson,
Watermelon,بطيخ أحمر,Pastèque,
Wattleseed,,Wattleseed,
Waxy Corn,الذرة الشمعية,Maïs cireux,
Waxy Maize Starch,نشا الذرة الشمعية,Amidon de maïs cireux,
Waxy Rice Flour,طحين الأرز الشمعي,Farine de riz cireuse,
Waxy Rice Starch,نشا الأرز الشمعي,Amidon de riz cireux,
Waxy Sorghum,شمع الذرة,Sorgho cireux,
Waxy Starch,نشا شمعي,Amidon cireux,
Weet Bix,ويتبيكس,Weet Bix,
Weetabix,ويتابكس,Weetabix,
Weizenkorn,,Weizenkorn,
Welsh Cake,كعكة ويلزية,Gâteau Gallois,
Welsh Lamb,لحم الضأن الويلزية,Agneau gallois,
Wetting Agents,عوامل ترطيب,Agents mouillants,
Whale,حوت,Baleine,
Wheat,قمح,Blé,
Wheat Beer,بيرة القمح,Bière de blé,
Wheat Bran,نخالة القمح,Son de blé,
Wheat Flakes,رقائق القمح,Flocons de blé,
Wheat Flour,دقيق القمح,Farine de blé,
Wheat Germ,جرثومة القمح,Germe de blé,
Wheat Germ Oil,زيت بذرة القمح,Huile de germe de blé,
Wheat Gluten,جلوتين القمح,Gluten de blé,
Wheat malt,شعير القمح,Malt de blé,
Wheat Starch,نشاء القمح,Amidon de blé,
Wheat Starch Gelatinized,نشا القمح ، مهيلم,Amidon de blé gélatinisé,
Wheat Whiskey,ويسكي القمح,Whisky de blé,
Wheat Bulgur,قمح ، برغل,Blé bulgur,
Whey,بروتين,Petit lait,
Whey powder,مسحوق البروتين,Poudre de lactosérum,
Whey Protein Concentrate,مركز مسحوق البروتين,Concentré de protéines de lactosérum,
Whey protein isolate,,Isolat de protéines de lactosérum,
Whey Solids,مصل اللبن,Solides de lactosérum,
Whipped Cream,كريمة مخفوقة,Crème fouettée,
Whipping Cream,كريمة الخفق,Crème fouettée,
Whiskey,ويسكي,Whisky,
Whisky,ويسكي,Whisky,
White Bass,سمك القاروص الأبيض,White Bass,
White Beer,بيرة بيضاء,Bière blanche,
White Bread,خبز ابيض,Pain blanc,
White Cheshire,جبنة شيشاير البيضاء,White Cheshire,
White Chocolate,شوكولاتة بيضاء,Chocolat blanc,
White Currant,الكشمش الأبيض,Groseille blanche,
White Mustard,خردل أبيض,Moutarde blanche,
White Pudding,بودينغ أبيض,Boudin blanc,
White Radish,فجل أبيض,Radis blanc,
White Sapote,السابوت الأبيض,Sapote blanc,
White Wine Vinegar,نبيذ الخل الأبيض,Vinaigre de vin blanc,
Whitebait,,Appâts blancs,
Whitefish,السمك الأبيض,Poisson blanc,
Whiting,مبيض,Merlan,
Whole,كاملة,Entier,
Whole Fish Protein Concentrate,مركز زيت السمك الكامل,Concentré de protéines de poisson entier,
Whole Grain Barley,شعير الحبوب الكاملة,Orge à grains entiers,
Whole Grain Bread,خبز الحبوب الكاملة,Pain de grains entiers,
Whole grain brown rice flour,دقيق الأرز البني من الحبوب الكاملة,Farine de riz brun à grains entiers,
Whole grain rolled oats,رقائق الشوفان الكاملة,Flocons d'avoine entiers,
Whole grain rolled wheat,رقائق القمح الكاملة,Blé entier,
Whole Grain Wheat,حبوب القمح الكاملة,Blé entier,
Whole Milk,حليب كامل الدسم,Lait entier,
Whole milk powder,حليب مجفف كامل الدسم,Lait entier en poudre,
Whole Milk Solids,المواد الصلبة في الحليب كامل الدسم,Solides de lait entier,
Whole Oat Flour,دقيق الشوفان الكامل,Farine d'avoine entière,
Whole Wheat Bread,خبز القمح الكامل,Pain de blé entier,
Whole wheat flakes,رقائق القمح الكاملة,Flocons de blé entier,
Whole Wheat Flour,دقيق القمح الكامل,Farine de blé entier,
Wholegrain Mustard,حبوب الخردل الكاملة,Moutarde à l'ancienne,
Wild Boar,خنزير بري,Sanglier,
Wild Boar Meat,لحم الخنزير البري,Viande de sanglier,
Wild Celery,كرفس بري,Céleri sauvage,
Williams Peach,ويليامز بيتش,Pêche Williams,
Williams Peach Bourbon,بوربون ويليامز بيتش,Pêche Williams Bourbon,
Williams Pear,ويليامز بير,Poire Williams,
Wine,نبيذ,Vin,
Wine Gums,واين جم,Gommes au vin,
Wine Vinegar,خل النبيذ,Vinaigre de vin,
Wine Fortified,نبيذ، معزز,Vin fortifié,
Wiper Hybrid Bass,,Perche basse,
Wispa,شوكولاتة ويسبا,Wispa,
Witbier,بيرة ويتبير,Witbier,
Witch Hazel,,Hamamélis,
Wolfberry,الحضض,Wolfberry,
Wolffish,عريك أطلسي,Loup de mer,
Wonton Noodles,نودلز وونتون,Nouilles Wonton,
Woodcock,طير الوودكوك,Bécasse,
Worcestershire Sauce,صلصة رسيستيرشاير,Sauce Worcestershire,
Xanthan Gum,صمغ زنتان,Gomme de xanthane,
XO Sauce,صلصة إكس أو,Sauce XO,
Xoloitzcuintie,,Xoloitzcuintie,
Xylitol,إكسيليتول,Xylitol,
Y Fenni Cheese,جبنة واي فيني,Fromage Y Fenni,
Yak Butter,زبدة الياك,Beurre de yak,
Yak Milk,حليب الياك,Lait de yak,
Yakisoba,ياكيسوبا,Yakisoba,
Yakisoba Noodles,نودلز ياكيسوبا,Nouilles Yakisoba,
Yam,بطاطا حلوة,Patate douce,
Yeast,خميرة,Levure,
Yeast Extract,مستخلص الخميرة,Extrait de levure,
Yeast Food,خميرة الطعام,Levure alimentaire,
Yeast Malt Sprout Extract,مستخلص براعم الخميرة والشعير,Extrait de germes de levure et de malt,
Yellow 2G,2 جي أصفر,Jaune 2G,
Yellow Mustard,"خردل أصفر
",Moutarde jaune,
Yellow Perch,,Perche jaune,
Yellow Prussiate of Soda,البروسيات الصفراء للصودا,Prussiate de soude jaune,
Yellow Wine,نبيذ أصفر,Vin jaune,
Yellowfin Tuna,تونة الزعنفة الصفراء,Thon à nageoires jaunes,
Yellowtail,تونة الزعنفة الصفراء,Limande à queue jaune,
Yemen Gum,علكة يمنية,Gomme yéménite,
Yemeni Bread,خبز يمني,Pain yéménite,
Yi Mein,يي ميين,Yi Mein,
Yi Mein Noodles,نودلز يي ميين,Nouilles Yi Mein,
Ymer,يمير,Ymer,
Yoghurt,لبن,Yaourt,
Yoghurt Strained,لبن مجبن,Lebné,
Yoghurt Greek,لبن مجبن,Yaourt à la grecque,
Yoghurt Greek style,لبن مجبن,Yaourt à la grecque,
